Timestamp,Distance (mm)
2024-05-27 14:22:15,160
2024-05-27 14:22:17,158
2024-05-27 14:22:19,159
2024-05-27 14:22:21,162
2024-05-27 14:22:23,158
2024-05-27 14:22:25,161
2024-05-27 14:22:27,160
2024-05-27 14:22:29,162
2024-05-27 14:22:31,161
2024-05-27 14:22:33,161
2024-05-27 14:22:35,161
2024-05-27 14:22:37,159
2024-05-27 14:22:39,161
2024-05-27 14:22:41,161
2024-05-27 14:22:43,158
2024-05-27 14:22:45,161
2024-05-27 14:22:47,157
2024-05-27 14:22:49,159
2024-05-27 14:22:51,162
2024-05-27 14:22:53,160
2024-05-27 14:22:55,161
2024-05-27 14:22:57,158
2024-05-27 14:22:59,157
2024-05-27 14:23:01,161
2024-05-27 14:23:03,157
2024-05-27 14:23:05,162
2024-05-27 14:23:07,159
2024-05-27 14:23:09,162
2024-05-27 14:23:11,160
2024-05-27 14:23:13,159
2024-05-27 14:23:15,161
2024-05-27 14:23:17,161
2024-05-27 14:23:19,159
2024-05-27 14:23:21,161
2024-05-27 14:23:23,159
2024-05-27 14:23:25,160
2024-05-27 14:23:27,159
2024-05-27 14:23:29,161
2024-05-27 14:23:31,159
2024-05-27 14:23:33,159
2024-05-27 14:23:35,160
2024-05-27 14:23:37,163
2024-05-27 14:23:39,160
2024-05-27 14:23:41,159
2024-05-27 14:23:43,161
2024-05-27 14:23:45,160
2024-05-27 14:23:47,157
2024-05-27 14:23:49,160
2024-05-27 14:23:51,159
2024-05-27 14:23:53,157
2024-05-27 14:23:55,160
2024-05-27 14:23:57,159
2024-05-27 14:23:59,163
2024-05-27 14:24:01,160
2024-05-27 14:24:03,159
2024-05-27 14:24:05,159
2024-05-27 14:24:07,160
2024-05-27 14:24:09,160
2024-05-27 14:24:11,160
2024-05-27 14:24:13,160
2024-05-27 14:24:15,159
2024-05-27 14:24:17,161
2024-05-27 14:24:19,161
2024-05-27 14:24:21,160
2024-05-27 14:24:23,160
2024-05-27 14:24:25,160
2024-05-27 14:24:27,158
2024-05-27 14:24:29,158
2024-05-27 14:24:31,160
2024-05-27 14:24:33,161
2024-05-27 14:24:35,161
2024-05-27 14:24:37,159
2024-05-27 14:24:39,161
2024-05-27 14:24:41,160
2024-05-27 14:24:43,160
2024-05-27 14:24:45,163
2024-05-27 14:24:47,159
2024-05-27 14:24:49,160
2024-05-27 14:24:51,160
2024-05-27 14:24:53,159
2024-05-27 14:24:55,159
2024-05-27 14:24:57,160
2024-05-27 14:24:59,160
2024-05-27 14:25:01,160
2024-05-27 14:25:03,160
2024-05-27 14:25:05,162
2024-05-27 14:25:07,160
2024-05-27 14:25:09,160
2024-05-27 14:25:11,160
2024-05-27 14:25:13,160
2024-05-27 14:25:15,159
2024-05-27 14:25:17,160
2024-05-27 14:25:19,160
2024-05-27 14:25:21,159
2024-05-27 14:25:23,162
2024-05-27 14:25:25,162
2024-05-27 14:25:27,161
2024-05-27 14:25:29,159
2024-05-27 14:25:31,158
2024-05-27 14:25:33,159
2024-05-27 14:25:35,161
2024-05-27 14:25:37,158
2024-05-27 14:25:39,161
